基金简称,基金公司,省份
安子极客量化精选一号A类份额,安子基金,广东
陶山天时复利价值回报B类份额,上海陶山私募,上海
欢乐港湾坤罡,欢乐港湾,广东
壹点纳锦华盈,壹点纳锦(泉州)私募,福建
盛天价值精选1号,盛天投资,广东
微观博易-宝途指增七号B类份额,微观博易,北京
嘉之逸嘉亨2号,共青城嘉之逸私募,江西
进化论多棱镜中证1000指数增强B类份额,进化论资产,海南
钜和太知一2号稳健,钜和太投资,浙江
晨鸣9号,晨耀私募,上海
立华定增重阳,立华投资,四川
恒尚1期,尚道,天津
广金致远,广东广金,广东
元涞潜龙二号,上海元涞私募,上海
泽元通宝8号B类份额,泽元投资,广东
滨利汉威新经济12号,滨利投资,广东
稳博量化选股匠心系列1号A类份额,稳博投资,上海
元涞潜龙一号,上海元涞私募,上海
进化论一平全球配置星河6期,进化论资产,海南
明汯股票精选谷秋1号,明汯投资,上海
千衍六和6号1000增强B类份额,千衍私募,上海
易则全球宏观,易则投资,上海
宝荟爆米花8号,宝荟投资,上海
量锐指数增强2000一号1期,金戈量锐,浙江
中安汇富莲花山进取11号,中安汇富,广东
大岩量化选股1号B类份额,大岩资本,广东
裕恒资本双龙一号,裕恒资本,浙江
融伟屿通量化多策略一号,融伟投资基金,北京
飞渡雪瑞指数增强一号,三亚飞渡雪瑞私募,海南
晨钟致远,晨钟资产,广东
稳博量化选股匠心系列1-1号,稳博投资,上海
宏桥嘉程二号A类份额,宏桥基金,山东
龙旗1000指增1号B类份额,龙旗科技,浙江
九招股票量化小市值增强1号B类份额,九招基金,湖北
黑翼风行2号B类份额,黑翼资产,上海
宏桥嘉程三号A类份额,宏桥基金,山东
在赢开元1号,在赢私募,浙江
瑞天兴田,瑞天私募,广东
骐邦-骐纵新程成长1号,骐邦投资,上海
名世1号,上海名世私募,上海
蒙玺中证1000指数量化5号A类份额,蒙玺投资,上海
易则全球宏观二号,易则投资,上海
国源志成1号B类份额,国源信达,广东
龙旗1000指增1号A类份额,龙旗科技,浙江
利昇1号A类份额,利昇投资,广东
大筝弘昇3期,大筝资产,上海
阿巴马瑞雪丰年量化精选,阿巴马投资,广东
璟诚坦涂1号,广东璟诚私募,广东
元涞潜龙三号B类份额,上海元涞私募,上海
橡木春晓,橡木资产,浙江
逸格-价值1期A类份额,逸格投资,北京
珺容佳毅价投1号,珺容资产,上海
天演赛能,天演资本,上海
桓睿天泽先锋财富,广东桓睿天泽私募,广东
津育稳健成长4号,津育投资,北京
君睿中证1000指数增强1号,君睿私募,北京
融伟屿通量化二号,融伟投资基金,北京
博闻定发A类份额,博闻投资,广东
中戊赋立华麟,中戊投资,上海
中泓汇富珞忱先进生产力B类份额,中泓汇富资产,广东
日斗国强价值,日斗投资,广东
厚元大同价值成长1号,厚元投资,山西
融成上九点金二号,嘉信融成,湖南
孚盈飒露紫一号,孚盈投资,浙江
欢乐港湾长虹8号,欢乐港湾,广东
衍合1000指数增强1号A类份额,衍合投资,山东
梦工场建辉新品类,深圳市梦工场投资,广东
兆意宏起1号,兆意投资,江西
大岩量化选股1号A类份额,大岩资本,广东
滨利汉威雄风21号,滨利投资,广东
七曜领诚,七曜投资,上海
百航沪深指数增强1号,百航投资,上海
天演神州机遇A类份额,天演资本,上海
利昇2号,利昇投资,广东
千衍六和38号A类份额,千衍私募,上海
明汯量化中小盘增强1号B类份额,明汯投资,上海
千衍六和19号1000增强B类份额,千衍私募,上海
衍盛中证1000指数增强建享2号,衍盛资产,海南
艳珍中证1000指数增强,艳珍投资,上海
橡木永富,橡木资产,浙江
照友嘉禾鸿瑞6号,照友投资,上海
庄贤锐远1号B类份额,庄贤投资,浙江
君子乾乾科技成长专精特新1号A类份额,君子乾乾,广东
锦望诺铖进取,锦望投资,上海
日斗睿欣,日斗投资,广东
盛天阿尔法,盛天投资,广东
中泓汇富珞忱先进生产力C类份额,中泓汇富资产,广东
金羿1期,金羿资产,广东
明晟东诚创新成长2号B类份额,北京明晟东诚私募,北京
会世元启CTA1号B类份额,会世私募,上海
中戊赋立兴麟,中戊投资,上海
君子乾乾科技成长精选1号,君子乾乾,广东
天之卉天星壹号C类份额,天之卉,广东
天之卉天星壹号A类份额,天之卉,广东
众赢岩松一号,众合创赢金融投资,广东
天演神州机遇2号A类份额,天演资本,上海
鸣石春天28号,鸣石基金,上海
蒙玺中证1000指数量化5号1期,蒙玺投资,上海
巨量均衡小微沧海九号A类份额,巨量均衡基金,广东
敦然-鼎弘2号私募基金,广州敦然私募,广东
橡木永丰,橡木资产,浙江
大道萑苇,大道投资,广东
黑翼量化成长6号C类份额,黑翼资产,上海
珞珈方圆港股通多策略一期,珞珈方圆,广东
观理摘金成长1号A类份额,观理基金,广东
锦望诺铖进取2号,锦望投资,上海
聚宽汇鑫指数增强,聚宽投资,北京
众赢同力2号,众合创赢金融投资,广东
鸣石未来新元量化选股1号C期B类份额,鸣石基金,上海
湛卢灰钻A类份额,湛卢资产,浙江
中泓汇富珞忱先进生产力A类份额,中泓汇富资产,广东
黑翼量化成长18SA类份额,黑翼资产,上海
敦颐莱茵一号C类份额,敦颐资产,上海
秋阳博盈2号,天津秋阳成长私募,天津
盛天价值成长3号,盛天投资,广东
东方创新3号B类份额,东方创新(上海)投资,上海
盛丰中证500指数增强1号A类份额,海南盛丰私募,海南
康曼德003A号主动管理型,康曼德资本,广东
天演神州机遇B类份额,天演资本,上海
鸣熙1000指数增强尊享1号A类份额,鸣熙资本,上海
明晟东诚创新成长1号FOFB类份额,北京明晟东诚私募,北京
日斗枫藤价值一号,日斗投资,广东
凡二量化选股3号1期A类份额,茂源量化,海南
黑翼量化成长1号A类份额,黑翼资产,上海
唯悦1期,东宏私募,山东
塞帕思特斯拉指数增强,杭州塞帕思,浙江
非马永丰一期,非马投资,上海
熠道丰盈一号,熠道资产,浙江
大墉传承一号,大墉资产,上海
